94063000,0.0574,1,2024-04-16 13:58:20
94064000,0.0055,1,2024-04-16 13:58:20
94078000,0.0002,1,2024-04-16 13:58:20
94083000,0.106,1,2024-04-16 13:58:20
94079000,0.0002,0,2024-04-16 13:58:26
94078000,0.0001,0,2024-04-16 13:58:26
94075000,0.0222,0,2024-04-16 13:58:26
94073000,0.0154,0,2024-04-16 13:58:26
94071000,0.0502,0,2024-04-16 13:58:26
94090000,0.106,1,2024-04-16 13:58:26
94091000,0.0002,1,2024-04-16 13:58:26
94111000,0.0002,1,2024-04-16 13:58:26
94135000,0.0003,1,2024-04-16 13:58:26
94141000,0.0584,1,2024-04-16 13:58:26
94100000,0.0001,0,2024-04-16 13:58:31
94088000,0.3555,0,2024-04-16 13:58:31
94076000,0.0011,0,2024-04-16 13:58:31
94074000,0.0053,0,2024-04-16 13:58:31
94073000,0.0002,0,2024-04-16 13:58:31
94110000,0.1059,1,2024-04-16 13:58:31
94111000,0.0002,1,2024-04-16 13:58:31
94135000,0.0003,1,2024-04-16 13:58:31
94140000,0.0315,1,2024-04-16 13:58:31
94141000,0.0584,1,2024-04-16 13:58:31
94111000,0.0822,0,2024-04-16 13:58:37
94088000,0.0377,0,2024-04-16 13:58:37
94076000,0.0011,0,2024-04-16 13:58:37
94074000,0.0081,0,2024-04-16 13:58:37
94071000,0.0101,0,2024-04-16 13:58:37
94126000,0.008,1,2024-04-16 13:58:37
94134000,0.1544,1,2024-04-16 13:58:37
94135000,0.0003,1,2024-04-16 13:58:37
94141000,0.0584,1,2024-04-16 13:58:37
94148000,0.0398,1,2024-04-16 13:58:37
94122000,0.3533,0,2024-04-16 13:58:43
94105000,0.0002,0,2024-04-16 13:58:43
94102000,0.0154,0,2024-04-16 13:58:43
94100000,0.0501,0,2024-04-16 13:58:43
94099000,0.0131,0,2024-04-16 13:58:43
94141000,0.0002,1,2024-04-16 13:58:43
94149000,0.1138,1,2024-04-16 13:58:43
94163000,0.2125,1,2024-04-16 13:58:43
94174000,0.0235,1,2024-04-16 13:58:43
94178000,0.0308,1,2024-04-16 13:58:43
94122000,0.0001,0,2024-04-16 13:58:48
94100000,0.0632,0,2024-04-16 13:58:48
94098000,0.0568,0,2024-04-16 13:58:48
94097000,0.0183,0,2024-04-16 13:58:48
94096000,0.0122,0,2024-04-16 13:58:48
94149000,0.1138,1,2024-04-16 13:58:48
94163000,0.2127,1,2024-04-16 13:58:48
94179000,0.0308,1,2024-04-16 13:58:48
94180000,0.0191,1,2024-04-16 13:58:48
94184000,0.0219,1,2024-04-16 13:58:48
